subject,german1,german2,german3,greek1,greek2,greek3
1,-0.6266570687,0.2088856896,0.6266570687,-1.044428448,0,0.8355427582
2,-0.2088856896,0.6266570687,1.044428448,-0.6266570687,0,-0.8355427582
3,0.2088856896,0.2088856896,1.044428448,-1.044428448,0.2088856896,-0.6266570687
4,-0.8355427582,-0.8355427582,1.044428448,0.4177713791,0.4177713791,-0.2088856896
5,0.2088856896,0.2088856896,1.044428448,-1.044428448,-0.2088856896,-0.2088856896
6,-0.6266570687,0.2088856896,0.8355427582,-1.044428448,0.2088856896,0.4177713791
7,0.2088856896,0.6266570687,0.6266570687,-0.8355427582,0.2088856896,-0.8355427582
8,-0.2088856896,0.6266570687,1.044428448,-0.6266570687,0,-0.8355427582
9,-0.4177713791,1.044428448,0.6266570687,-0.4177713791,-0.8355427582,0
10,-0.6266570687,0.4177713791,1.044428448,-0.8355427582,-0.4177713791,0.4177713791
11,-0.4177713791,0.6266570687,0.8355427582,-0.8355427582,0,-0.2088856896
12,0,0.6266570687,1.044428448,-1.044428448,-0.4177713791,-0.2088856896
13,-0.2088856896,0.6266570687,0.4177713791,-1.044428448,-0.6266570687,0.8355427582
14,-0.4177713791,-0.2088856896,0.6266570687,-1.044428448,0.4177713791,0.6266570687
15,-0.2088856896,-1.044428448,0.6266570687,-0.6266570687,0.6266570687,0.6266570687
16,-0.6266570687,-0.2088856896,1.044428448,-1.044428448,0.6266570687,0.2088856896
17,-0.2088856896,-0.2088856896,1.044428448,-1.044428448,-0.2088856896,0.6266570687
18,-0.6266570687,0.6266570687,1.044428448,-1.044428448,0.2088856896,-0.2088856896
19,-0.6266570687,0.6266570687,1.044428448,-0.8355427582,-0.2088856896,0
20,-1.044428448,-0.6266570687,-0.2088856896,0.2088856896,0.6266570687,1.044428448
21,-0.2088856896,0.4177713791,1.044428448,-1.044428448,0.2088856896,-0.4177713791
22,-0.6266570687,-0.2088856896,1.044428448,-1.044428448,0.6266570687,0.2088856896
23,0.4177713791,0.2088856896,0.2088856896,-0.2088856896,-0.8355427582,0.2088856896
24,-0.6266570687,0.4177713791,1.044428448,-0.8355427582,0,0
25,-0.2088856896,-1.044428448,0.6266570687,-0.6266570687,1.044428448,0.2088856896
26,0.4177713791,0.6266570687,0.8355427582,-0.4177713791,-0.4177713791,-1.044428448
27,-0.6266570687,0.4177713791,0.6266570687,0,-0.4177713791,0
28,0,-0.6266570687,1.044428448,-0.8355427582,0.2088856896,0.2088856896
29,0,0.4177713791,0.8355427582,-0.8355427582,0,-0.4177713791
30,-0.6266570687,0.6266570687,0.8355427582,-0.6266570687,-0.2088856896,0
31,-0.2088856896,-1.044428448,0.8355427582,-0.2088856896,0,0.6266570687
32,0,-0.2088856896,0,-0.4177713791,0.6266570687,0
33,-0.4177713791,0.6266570687,0.8355427582,-0.6266570687,0.2088856896,-0.6266570687